Article_Title,Speciality,Year,Description,Revue,Volume,Number,Pages
"Origin of recharge and salinity and their role on management issues of a large alluvial aquifer system in the semi-arid Haouz plain, Morocco",Environmental Science,2015,"Environmental Earth Sciences 73, 6195-6212, 2015",Environmental Earth Sciences,73,,61956212
Evaluation and analysis of deep percolation losses of drip irrigated citrus crops under non-saline and saline conditions in a semi-arid area,Environmental Science,2018,"Biosystems Engineering 165, 10-24, 2018",Biosystems Engineering,165,,1024
Inverse calibration of a regional flow model for the Querença-Silves aquifer system (Algarve-Portugal),Environmental Science,2006,"Proc. of the International Congress on Integrated Water Resources Management …, 2006","Proc. of the International Congress on Integrated Water Resources Management …,",,,
"Exploitation et salinité des aquifères de la Chaouia Côtière, littoral atlantique, Maroc",Environmental Science,2001,"Journal of African Earth Sciences 32 (4), 791-801, 2001",Journal of African Earth Sciences,32,4,791801
Projection of irrigation water demand based on the simulation of synthetic crop coefficients and climate change,Environmental Science,2020,"Hydrology and Earth System Sciences Discussions 2020, 1-24, 2020",Hydrology and Earth System Sciences Discussions,2020,,124
"Modélisation pluie-débit et analyse du régime d'un bassin versant semi-aride sous influence nivale. Cas du bassin versant du Rheraya (Haut Atlas, Maroc)",Environmental Science,2018,"La Houille Blanche, 2018","La Houille Blanche,",,,
"Assessment of groundwater vulnerability to pollution of a wetland watershed: The case study of the Oualidia-Sidi Moussa wetland, Morocco",Environmental Science,2013,"Aquatic Ecosystem Health & Management 16 (2), 205-215, 2013",Aquatic Ecosystem Health & Management,16,2,205215
Anthropogenic features in the Sines (Portugal) and Essaouira (Morocco) coastal aquifers: a comparative study of their hydrochemical evolution by a Principal Component Analysis.,Environmental Science,2005,"Estudios geológicos 61 (3-6), 207-219, 2005",Estudios geológicos,61,36,207219
Contribution à l'étude des aquifères côtiers: Cas du Sahel de Oualidia (Province de Safi-Maroc),Environmental Science,2001,"Université Cadi Ayyad, Faculté des Sciences-Semlalia, Marrakech, 2001","Université Cadi Ayyad, Faculté des Sciences-Semlalia, Marrakech,",,,
"Salinisation des eaux souterraines aux alentours des sebkhas de Sad Al Majnoun et Zima (plaine de la Bahira, Maroc)",Environmental Science,2012,"Science et changements planétaires/Sécheresse 23 (1), 48-56, 2012",Science et changements planétaires/Sécheresse,23,1,4856
"Salinisation des eaux souterraines de la plaine de Saidia, côte méditerranéenne orientale, Maroc",Environmental Science,2008,"Bulletin d’Hydrogéologie 22, 43-57, 2008",Bulletin d’Hydrogéologie,22,,4357
New insight in the structure–luminescence relationships of Ca9Eu (PO4) 7,Environmental Science,2009,"Journal of Solid State Chemistry 182 (8), 2319-2325, 2009",Journal of Solid State Chemistry,182,8,23192325
A flywheel energy storage system for fault ride through support of grid-connected VSC HVDC-based offshore wind farms,Environmental Science,2015,"IEEE Transactions on Power Systems 31 (3), 1671-1680, 2015",IEEE Transactions on Power Systems,31,3,16711680
On the development of flywheel storage systems for power system applications: a survey,Environmental Science,2012,"2012 XXth International Conference on Electrical Machines, 2119-2125, 2012",,2012,,21192125
Parameter identification of five-phase induction machines with single layer windings,Environmental Science,2014,"IEEE Transactions on Industrial Electronics 61 (10), 5139-5154, 2014",IEEE Transactions on Industrial Electronics,61,10,51395154
Investigation of sensorless capacitor voltage balancing technique for modular multilevel converters,Environmental Science,2014,"IECON 2014-40th Annual Conference of the IEEE Industrial Electronics Society …, 2014",IECON,201440,,
Study of the thermal treatment of SiO2 aggregate,Environmental Science,2014,"IOP Conference Series: Materials Science and Engineering 62 (1), 012002, 2014",IOP Conference Series: Materials Science and Engineering,62,1,012002
DC bus control of an advanced flywheel energy storage kinetic traction system for electrified railway industry,Environmental Science,2013,"IECON 2013-39th Annual Conference of the IEEE Industrial Electronics Society …, 2013",IECON,201339,,
Spectroscopic properties of trivalent gadolinium in diphosphate CsYP2O7,Environmental Science,1998,"Materials research bulletin 33 (4), 597-603, 1998",Materials research bulletin,33,4,597603
A multi-model based microservices identification approach,Environmental Science,2021,"Journal of Systems Architecture 118, 102200, 2021",Journal of Systems Architecture,118,,102200
Ride-through capability enhancement of VSC-HVDC based wind farms using low speed flywheel energy storage system,Environmental Science,2014,"2014 IEEE Applied Power Electronics Conference and Exposition-APEC 2014 …, 2014",,20142014,,
Polymorphism of new rubidium magnesium monophosphate,Environmental Science,2010,"Journal of Solid State Chemistry 183 (9), 2082-2086, 2010",Journal of Solid State Chemistry,183,9,20822086
Zero-/low-speed operation of multiphase drive systems with modular multilevel converters,Environmental Science,2019,"IEEE Access 7, 14353-14365, 2019",IEEE Access,7,,1435314365
"Synthesis, structural and dielectric properties of Ho-doped SrBi2Nb2O9 prepared by Co-precipitation method",Environmental Science,2016,"Science China Materials 11 (59), 921-926, 2016",Science China Materials,11,59,921926
Structure and electric properties of cerium substituted SrBi1. 8Ce0. 2Nb2O9 and SrBi1. 8Ce0. 2Ta2O9 ceramics,Environmental Science,2016,"Processing and Application of Ceramics 10 (3), 183-188, 2016",Processing and Application of Ceramics,10,3,183188
Automatic microservices identification from a set of business processes,Environmental Science,2020,"Smart Applications and Data Analysis: Third International Conference, SADASC …, 2020","Smart Applications and Data Analysis: Third International Conference, SADASC …,",,,
"Dielectric properties of SrBi1. 8RE0. 2Nb2O9 (RE= Yb, Tm, Tb, Gd, Er, Sm and Ce) ceramics",Environmental Science,2017,"Solid State Sciences 73, 51-56, 2017",Solid State Sciences,73,,5156
A dual three-phase induction machine based flywheel storage system driven by modular multilevel converters for fault ride through in HVDC systems,Environmental Science,2015,"2015 IEEE PES Asia-Pacific Power and Energy Engineering Conference (APPEEC), 1-5, 2015",,2015,,15
New gadolinium based ferroelectric phases derived from the tetragonal tungsten bronze (TTB),Environmental Science,2003,"Ferroelectrics 291 (1), 133-139, 2003",Ferroelectrics,291,1,133139
"Synthesis, structural characterization and luminescent properties of Tb3+-doped AgLaP2O7 phosphors",Environmental Science,2018,"Ceramics International 44 (16), 19184-19190, 2018",Ceramics International,44,16,1918419190
A design example of an 8-pole radial AMB for flywheel energy storage,Environmental Science,2012,"2012 XXth International Conference on Electrical Machines, 1153-1159, 2012",,2012,,11531159
Skeleton‐based human activity recognition for elderly monitoring systems,Mathematics and Computational Sciences,2018,"IET Computer Vision 12 (1), 16-26, 2018",IET Computer Vision,12,1,1626
An agent based traffic regulation system for the roadside air quality control,Mathematics and Computational Sciences,2017,"IEEE Access 5, 13192-13201, 2017",IEEE Access,5,,1319213201
A multi-agent based simulation model for rail–rail transshipment: An engineering approach for gantry crane scheduling,Mathematics and Computational Sciences,2017,"IEEE Access 5, 13142-13156, 2017",IEEE Access,5,,1314213156
"A machine learning-based methodology to predict learners’ dropout, success or failure in MOOCs",Mathematics and Computational Sciences,2019,"International Journal of Web Information Systems 15 (5), 489-509, 2019",International Journal of Web Information Systems,15,5,489509
Deep MRI segmentation: a convolutional method applied to Alzheimer disease detection,Mathematics and Computational Sciences,2019,"International Journal of Advanced Computer Science and Applications 10 (11), 2019",International Journal of Advanced Computer Science and Applications,10,11,
A multi-model based microservices identification approach,Mathematics and Computational Sciences,2021,"Journal of Systems Architecture 118, 102200, 2021",Journal of Systems Architecture,118,,102200
A service oriented information system: a model driven approach,Mathematics and Computational Sciences,2012,"2012 Eighth International Conference on Signal Image Technology and Internet …, 2012",,2012,,
An augmented reality approach to integrate practical activities in e-learning systems,Mathematics and Computational Sciences,2016,"International Journal of Advanced Computer Science and Applications 7 (2), 2016",International Journal of Advanced Computer Science and Applications,7,2,
Optimized control for medical image segmentation: improved multi-agent systems agreements using Particle Swarm Optimization,Mathematics and Computational Sciences,2021,"Journal of Ambient Intelligence and Humanized Computing, 1-19, 2021","Journal of Ambient Intelligence and Humanized Computing,",119,,
An agent based modeling for the gravity irrigation management,Mathematics and Computational Sciences,2013,"Procedia environmental sciences 19, 804-813, 2013",Procedia environmental sciences,19,,804813
A Fuzzy Logic Supported Multi-Agent System For Urban Traffic And Priority Link Control.,Mathematics and Computational Sciences,2021,"JUCS: Journal of Universal Computer Science 27 (10), 2021",JUCS: Journal of Universal Computer Science,27,10,
Utilization of a convolutional method for Alzheimer disease diagnosis,Mathematics and Computational Sciences,2020,"Machine Vision and Applications 31 (4), 25, 2020",Machine Vision and Applications,31,4,25
